CODE_PRODUIT;CODE_ADHERENT;CODE_SITE;SURFACE_PREVISIONNELLE
CO0100;0000296879;D302;39.89
CO0100;0000297936;D218;25
CO0100;0000300490;D220;8.15
CO0100;0000300502;D220;2.3
CO0100;0000301927;D213;15.55
CO0100;0000500537;D200;10.87
CO0100;0000501146;D220;21
CO0100;0000501468;D220;21.5
CO0100;0000501562;D302;20
CO0100;0000501863;D213;21.5
CO0100;0000503612;D213;9.5
CO0100;0000503622;D200;4.45
CO0100;0000503713;D220;30
CO0100;0000504117;D109;18.94
CO0100;0000504120;D200;16.8
CO0100;0000504140;D220;8.85
CO0100;0000504261;D200;3
CO0100;0000505002;D220;1.5
CO0100;0000505161;D302;50
CO0100;0000506137;D220;3.73
CO0100;0000000101;D008;2
CO0100;0000003103;D008;15
CO0100;0000006971;D008;39.92
CO0100;0000009764;D008;10
CO0100;0000014755;D046;11.06
CO0100;0000015233;D040;2
CO0100;0000020729;D008;7.44
CO0100;0000033223;D077;1
CO0100;0000033250;D008;37.51
CO0100;0000033264;D008;7
CO0100;0000033417;D008;14.63
CO0100;0000033761;D008;42
CO0100;0000033761;D419;10.26
CO0100;0000033812;D008;9.6
CO0100;0000033863;D008;9.41
CO0100;0000033875;D008;100
CO0100;0000033875;D018;30
CO0100;0000033980;D008;10
CO0100;0000034014;D040;17.52
CO0100;0000034068;D008;11.73
CO0100;0000034152;D040;19
CO0100;0000034183;D008;12.21
CO0100;0000034275;D008;10
CO0100;0000037257;D008;1
CO0100;0000045037;D040;15
CO0100;0000045168;D040;18.29
CO0100;0000045221;D018;20
CO0100;0000045414;D008;11.14
CO0100;0000045434;D008;13
CO0100;0000045839;D008;10.7
CO0100;0000046309;D008;64.91
CO0100;0000046314;D040;10
CO0100;0000046589;D040;15
CO0100;0000053020;D008;4
CO0100;0000084969;D008;8.92
CO0100;0000085002;D008;17.47
CO0100;0000088118;D008;15
CO0100;0000088142;D056;13.4
CO0100;0000088910;D008;30
CO0100;0000093714;D008;10
CO0100;0000118538;D404;58.64
CO0100;0000134876;D635;31.78
CO0100;0000139258;D020;18
CO0100;0000139258;D635;65
CO0100;0000156462;D404;6
CO0100;0000202915;D635;16
CO0100;0000207313;D631;12.19
CO0100;0000211306;D008;7
CO0100;0000216653;D635;20
CO0100;0000231038;D404;24
CO0100;0000255103;D635;52
CO0100;0000256562;D046;6.22
CO0100;0000265587;D404;4
CO0100;0000289771;D635;50
CO0100;0000294745;D404;39
CO0100;0000297297;D404;23.27
CO0100;0000297495;D635;16.81
CO0100;0000298575;D635;16
CO0100;0000299832;D404;7
CO0100;0000299962;D008;21.59
CO0100;0000300014;D404;0.7
CO0100;0000300505;D404;20.23
CO0100;0000300664;D077;25
CO0100;0000300691;D635;2.5
CO0100;0000300748;D040;13
CO0100;0000300967;D635;33.25
CO0100;0000300969;D037;15
CO0100;0000301189;D635;11
CO0100;0000301694;D404;11
CO0100;0000301699;D018;10
CO0100;0000301744;D046;8.5
CO0100;0000301842;D008;2
CO0100;0000301952;D077;15
CO0100;0000302194;D404;15
CO0100;0000302290;D490;6.7
CO0100;0000302508;D008;8.5
CO0100;0000302613;D635;8.3
CO0100;0000390351;D019;12
CO0100;0000391365;D632;27.5
CO0100;0000435397;D404;11
CO0100;0000436573;D404;30
CO0100;0000436650;D635;9
CO0100;0002036580;D008;1
CO0100;0002036889;D635;2.02
CO0100;0002037162;D008;2
CO0100;0000237276;D105;15
CO0100;0000280354;D105;5.5
CO0100;0000402002;D105;12.73
CO0100;0000402134;D105;2.46
CO0100;0000402156;D105;4.58
CO0100;0000402662;D105;21.96
CO0100;0000403311;D105;5.06
CO0100;0000414344;D205;5.6
CO0100;0000414465;D105;7
CO0100;0000421549;D105;19.73
CO0100;0000421978;D105;18.33
CO0100;0000424486;D105;15.52
CO0100;0000430635;D105;9
CO0100;0000430855;D105;34.64
CO0100;0000438003;D105;30
CO0100;0000439212;D105;12
CO0100;0000461245;D105;23.6
CO0100;0000114625;D445;2.73
CO0100;0000150005;D445;0.06
CO0100;0000251783;D445;7.84
CO0100;0000253905;D445;10.6
CO0100;0000265485;D445;12.06
CO0100;0000298245;D220;17.49
CO0100;0000299934;D220;2.61
CO0100;0000300118;D416;19.5
CO0100;0000300837;D102;40
CO0100;0000301252;D416;26
CO0100;0000302047;D416;85
CO0100;0000302326;D416;56
CO0100;0000302373;D102;8
CO0100;0000455769;D416;7.5
CO0100;0000457298;D220;22.14
CO0100;0000459630;D445;3.25
CO0100;0000461168;D445;3
CO0100;0000461509;D445;8.12
CO0100;0000464574;D416;2.5
CO0100;0000503618;D102;50
CO0100;0000503647;D445;13.86
CO0100;0000503685;D102;3.7
CO0100;0000504069;D416;28
CO0100;0000504085;D102;45
CO0100;0000504177;D102;10.31
CO0100;0000505081;D411;12
CO0100;0000505867;D416;29
CO0100;0002036516;D445;2.41
CO0100;0002037364;D102;20
CO0100;0000012780;D001;21.26
CO0100;0000033147;D034;35
CO0100;0000059232;D214;55
CO0100;0000296142;D065;13.49
CO0100;0000297924;D065;26.73
CO0100;0000299943;D063;14
CO0100;0000300408;D214;0.73
CO0100;0000300907;D214;5.25
CO0100;0000301361;D214;30
CO0100;0000301586;D210;2
CO0100;0000301661;D214;8
CO0100;0000302261;D214;5.44
CO0100;0000302264;D210;9.38
CO0100;0000302337;D210;2
CO0100;0000302637;D210;11.71
CO0100;0000400836;D214;7.52
CO0100;0000427126;D044;19.14
CO0100;0000458013;D212;5.37
CO0100;0000500046;D210;6
CO0100;0000500466;D210;8
CO0100;0000500612;D065;15
CO0100;0000500612;D214;9
CO0100;0000500622;D210;9.21
CO0100;0000501155;D210;9.94
CO0100;0000501422;D214;15
CO0100;0000501560;D214;14.36
CO0100;0000502081;D210;8.88
CO0100;0000502993;D210;12.77
CO0100;0000503385;D214;8
CO0100;0000503683;D210;9.09
CO0100;0000503988;D214;14
CO0100;0000504112;D210;10.92
CO0100;0000504341;D210;4.8
CO0100;0000504473;D214;10.2
CO0100;0000505683;D063;4
CO0100;0000253127;D128;9.7
CO0100;0000265070;D128;11
CO0100;0000269310;D128;37.54
CO0100;0000289265;D128;14.46
CO0100;0000290057;D128;4.16
CO0100;0000290870;D128;9.1
CO0100;0000294469;D128;12
CO0100;0000295834;D128;24.72
CO0100;0000296714;D201;7.14
CO0100;0000297341;D128;14.79
CO0100;0000297660;D201;17.1
CO0100;0000300554;D472;6.38
CO0100;0000300982;D201;4
CO0100;0000301399;D128;5.85
CO0100;0000411110;D128;15.62
CO0100;0000419349;D126;3.65
CO0100;0000462583;D201;2.95
CO0100;0000501382;D201;12.29
CO0100;0000502633;D201;11
CO0100;0000505012;D201;13.38
CO0100;0000505484;D201;13.6
CO0100;0000033256;D017;14.75
CO0100;0000033449;D087;24.5
CO0100;0000033717;D087;5
CO0100;0000034055;D017;1.48
CO0100;0000034358;D017;9.15
CO0100;0000034925;D003;6.42
CO0100;0000041418;D034;12
CO0100;0000088070;D017;15
CO0100;0000088307;D017;18.71
CO0100;0000089989;D017;8.8
CO0100;0000093996;D034;1.5
CO0100;0000403102;D017;1
CO0100;0000503703;D210;16.38
CO0100;0000504650;D210;6.25
CO0100;0000599093;D210;5.56
CO0100;0000230139;D411;9.03
CO0100;0000253873;D411;2.62
CO0100;0000257437;D411;8.3
CO0100;0000296483;D212;8
CO0100;0000297539;D220;0.63
CO0100;0000299821;D411;10.54
CO0100;0000300054;D411;20.94
CO0100;0000300717;D220;2.62
CO0100;0000301264;D411;22
CO0100;0000301909;D411;12.37
CO0100;0000302420;D416;4.5
CO0100;0000455879;D411;12.4
CO0100;0000459146;D411;15.21
CO0100;0000500649;D411;35.99
CO0100;0000501413;D212;4.5
CO0100;0000502492;D100;12.3
CO0100;0000504285;D411;34.6
